serial_order,validation_stage,run_id,instance_id,completion_valid,completion_reason,completion_marker_path,completion_marker_bytes,completion_marker_sha256,artifact_manifest_path,artifact_manifest_bytes,artifact_manifest_sha256,artifact_count,result_sha256,strict_certificate,emergency_timeout,algorithmic_solve_state_resumed,anchor_safety_valid,arm_contract_matches,root_coverage_valid,parent_child_coverage_valid
38,independent_v50_3600,r36c_38_tight_T_seed6102__bw_p__3600s,tight_T_seed6102,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_38_tight_T_seed6102__bw_p__3600s/completion_marker.json,7833,39c6bcc1d6e8f86b246bb6d9b7ed694bcd3e1da370f72dcfbb61ceff9c7541d8,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_38_tight_T_seed6102__bw_p__3600s/artifact_manifest.csv,2499,fcd077b3f698bd955c0d9558eb64dc830022ed94e09b1b855ffd55e2f656180c,25,b842f0757bd97d7b5c5139e6c9345827074bb56d3ef8ad2e033faa061f93e2c9,False,False,False,True,True,True,True
39,independent_v50_3600,r36c_39_round31_sealed_high_imbalance_V50_seed802548647__bw_p__3600s,round31_sealed_high_imbalance_V50_seed802548647,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_39_round31_sealed_high_imbalance_V50_seed802548647__bw_p__3600s/completion_marker.json,8167,e2bd45f5b6552ddbbcc41e38c86548cced89f01c88e7ed4eabc9ec283f65f68d,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_39_round31_sealed_high_imbalance_V50_seed802548647__bw_p__3600s/artifact_manifest.csv,3919,77e9dd23fec15f1d73e3699843c8cabd3969a8b753f640b60edb91d4f4a239da,38,47625ad3dc0a54fa8d4b80c2dfec3a7213bb54e4cd8c97fbc823e658f4456786,True,False,False,True,True,True,True
40,independent_v50_3600,r36c_40_round31_sealed_moderate_V50_seed1112848618__bw_p__3600s,round31_sealed_moderate_V50_seed1112848618,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_40_round31_sealed_moderate_V50_seed1112848618__bw_p__3600s/completion_marker.json,8147,a5f5cc2a7ce9f32404b3d465285e9935a0b449ba479724ccf6846a7debefee9b,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_40_round31_sealed_moderate_V50_seed1112848618__bw_p__3600s/artifact_manifest.csv,3726,9e6bba767aa54d23283b565de12041da64783fe716478a950441c9e38504019a,36,0c82191cea60c12ca8a6cea288ba3717f948a51c77acb438d25dc096a2299e52,False,False,False,True,True,True,True
41,independent_v50_3600,r36c_41_round31_sealed_tight_T_V50_seed1973327304__bw_p__3600s,round31_sealed_tight_T_V50_seed1973327304,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_41_round31_sealed_tight_T_V50_seed1973327304__bw_p__3600s/completion_marker.json,8133,1470cef9356652cab846ad3e6042fd0a55b2c9861aeda64179af4bc11721e9cb,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_41_round31_sealed_tight_T_V50_seed1973327304__bw_p__3600s/artifact_manifest.csv,4291,54eb5aed32332519fe4e9a731bada4617223b64ded77f3540446591271bbda4c,41,4729cfea3af3d7fb322abda2846d0e21de2efc224d2b8868073fe1e44a3f1869,False,False,False,True,True,True,True
42,independent_v50_3600,r36c_42_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__3600s,round32_multi_m_high_imbalance_V50_M2_seed910922492,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_42_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__3600s/completion_marker.json,8241,ba104e51c770b2406d437fa33990a6eaae4793c791f8538635128b9141575875,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_42_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__3600s/artifact_manifest.csv,3918,753da8a0d8398785b2814d83b516b46431889f4a1674da404f4fa10d43d06d63,38,a1dd209005784793bb5839f305c48a689c26ba544cf8108431684e7ee1efc5d3,True,False,False,True,True,True,True
43,independent_v50_3600,r36c_43_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__3600s,round32_multi_m_high_imbalance_V50_M4_seed163456187,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_43_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__3600s/completion_marker.json,8268,8a8fceb111baeaf422fd05e7e01acc1b259ab53d81b11c01d60cb82742e02005,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_43_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__3600s/artifact_manifest.csv,3377,3e26aea9c2961209de183aeab52c8d12ac264e8fd99c8529333fc7cfea99744b,33,7409f18553e5f2fab6a74ed9014b4bf230aa876d436ddc73534a45dc1b03f525,False,False,False,True,True,True,True
44,independent_v50_3600,r36c_44_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__3600s,round32_multi_m_moderate_V50_M2_seed254020866,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_44_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__3600s/completion_marker.json,8192,8da7f699cccf28c0e6daa88d3e47e108315c25da65b7fe36830c8e0a9b3cfbc5,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_44_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__3600s/artifact_manifest.csv,3934,e67bebfa6d2cb404c564f177557ce508d2ad57e7b2021f524879fc9616ed36d1,38,165659d8d8738e562a889b18097ded62fc34f9c890f385d1170b20fad21f25e6,False,False,False,True,True,True,True
45,independent_v50_3600,r36c_45_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__3600s,round32_multi_m_moderate_V50_M4_seed721910669,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_45_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__3600s/completion_marker.json,8195,a130473871abf459e92e185057f9807b4f252517d91b965c42d9617337349010,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_45_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__3600s/artifact_manifest.csv,3726,882d22473084ad2c7456b0c3cb5d5c439d4458474ceaeb17fa84d51b61fd8fac,36,7ca7fa658b3983e36cc411b73b3a74d250635cda09c3d8c5ea76402711de8dcc,False,False,False,True,True,True,True
46,independent_v50_3600,r36c_46_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__3600s,round32_multi_m_tight_T_V50_M2_seed104207248,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_46_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__3600s/completion_marker.json,8155,4300ad388f27a44cb1eb895fd8193074fd94205d193ed2d467177e91fae70368,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_46_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__3600s/artifact_manifest.csv,3917,5b10ab17d3432975cb76f28bcbf98af836b0ba9d12458117855ab659e7272bef,38,f1690e800d47a3f353b52bb3085ce09715e659350b679b3bc5bcda4aad8a0c4c,True,False,False,True,True,True,True
47,independent_v50_3600,r36c_47_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__3600s,round32_multi_m_tight_T_V50_M4_seed1562257203,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_47_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__3600s/completion_marker.json,8191,034c996b9ea708a05f7300dfad696b8767d3170e06a4f831293922f3ce6bc2fa,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_47_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__3600s/artifact_manifest.csv,3378,e9882ca1e42f130df0a9fd67eb4fdc328e7b2238ac7a27407e626322a05650bf,33,a0ea2a89befedf6baf7f625cafd8489df365b04e02c3634e983c33d392fbd3f5,False,False,False,True,True,True,True
